,predicted_mean
241,14.105724039908942
242,12.609002730429246
243,11.81624781093176
244,11.210228529630902
245,10.668079508383528
246,10.159907859674117
247,9.67777274877173
248,9.218948494066375
249,8.781978780070283
250,8.365744978761338
251,7.9692447863786855
252,7.591538320902771
253,7.2317337614200685
254,6.888982383523082
255,6.562475883650318
256,6.251444314146603
257,5.9551542302166105
258,5.672906951572337
259,5.404036912801593
260,5.147910093413327
261,4.90392252264319
262,4.671498855207357
263,4.4500910145786765
264,4.239176900569964
